Scenario,Indicator,Global_Land_Weighted_Mean
Historical,Carbon,79.89916583003016
Historical,PM25_Adsorption,2.496170691607798
SSP126,Carbon,76.63672027626659
SSP126,PM25_Adsorption,2.188456360179017
SSP245,Carbon,76.8507747583046
SSP245,PM25_Adsorption,2.5378907694396786
SSP585,Carbon,77.27637260646694
SSP585,PM25_Adsorption,2.684253129397987
