Scenario,Indicator,Global_Land_Weighted_Mean
Historical,Carbon,0.008284478104747552
Historical,PM25_Adsorption,0.007821910889407145
SSP126,Carbon,0.05504642300333541
SSP126,PM25_Adsorption,-0.022099196558322386
SSP245,Carbon,0.08895764133957454
SSP245,PM25_Adsorption,-0.013921070242650097
SSP585,Carbon,0.1462336980621344
SSP585,PM25_Adsorption,0.02112419865920256
